Coordinates, of fracture, traces, 
, x1, y1, x2, y2, 
135, 96.877, 81.864, 78.47, 74.671, 
136, 35.429, 64.086, 28.52, 59.698, 
137, 47.925, 91.761, 44.955, 63.578, 
138, 87.245, 75.321, 24.893, 73.603, 
139, 100, 15.635, 94.712, 15.734, 
140, 60.284, 9.083, 56.993, 10.009, 
141, 89.304, 95.017, 86.91, 97.042, 
142, 83.276, 47.335, 74.956, 45.387, 
143, 36.719, 37.554, 31.117, 36.234, 
144, 80.287, 100, 81.404, 47.12, 
145, 67.251, 54.091, 58.222, 33.18, 
146, 99.998, 73.377, 0, 77.032, 
147, 75.081, 70.438, 75.125, 67.127, 
148, 100, 95.756, 88.527, 73.646, 
149, 67.601, 0.417, 65.49, 23.436, 
150, 37.684, 22.961, 25.69, 29.275, 
151, 71.416, 62.11, 63.366, 63.486, 
152, 100, 6.126, 79.937, 1.33, 
153, 26.405, 0, 7.121, 84.604, 
154, 51.396, 26.582, 48.07, 18.072, 
155, 45.172, 35.343, 32.925, 30.608, 
156, 49.107, 53.531, 3.074, 47.516, 
157, 31.768, 87.624, 29.226, 86.282, 
158, 20.684, 74.068, 0, 66.571, 
159, 36.351, 57.156, 33.359, 55.452, 
160, 41.505, 24.507, 35.121, 23.273, 
161, 17.006, 61.421, 3.753, 52.846, 
162, 40.433, 38.357, 40.63, 46.362, 
163, 72.332, 37.122, 51.298, 34.096, 
164, 47.457, 82.56, 46.186, 73.909, 
165, 54.449, 0.886, 46.189, 0.457, 
166, 4.56, 26.759, 1.532, 24.847, 
167, 49.897, 25.484, 44.79, 24.42, 
168, 81.251, 58.214, 79.643, 49.828, 
169, 49.747, 68.795, 46.362, 65.066, 
170, 25.459, 39.486, 17.737, 22.693, 
171, 10.291, 22.552, 9.686, 12.495, 
172, 15.278, 68.525, 11.004, 69.144, 
173, 37.591, 20.416, 27.395, 28.102, 
174, 36.361, 88.959, 15.368, 40.812, 
175, 49.263, 94.535, 35.999, 97.518, 
176, 13.61, 74.32, 12.044, 67.432, 
177, 4.741, 44.694, 1.57, 38.664, 
178, 9.19, 64.13, 2.974, 65.25, 
179, 14.989, 48.45, 1.356, 42.66, 
180, 24.812, 74.435, 0, 52.62, 
181, 89.582, 42.24, 74.693, 23.729, 
182, 81.216, 99.354, 80.044, 92.809, 
183, 46.789, 32.478, 48.74, 25.55, 
184, 31.005, 50.34, 39.164, 32.054, 
185, 80.514, 64.63, 76.602, 62.168, 
186, 66.004, 21.766, 86.167, 3.222, 
187, 5.882, 26.608, 0, 24.448, 
188, 75.886, 25.793, 79.569, 5.55, 
189, 74.947, 14.476, 56.063, 22.958, 
190, 26.367, 75.404, 13.307, 79.581, 
191, 49.032, 23.172, 34.051, 33.135, 
192, 13.265, 35.055, 12.054, 33.514, 
193, 74.544, 39.292, 64.473, 34.599, 
194, 46.202, 53.673, 44.084, 45.353, 
195, 20.783, 8.759, 15.254, 15.485, 
196, 48.239, 94.879, 46.777, 82.354, 
197, 70.609, 12.829, 72.913, 0, 
198, 10.23, 30.227, 7.165, 28.069, 
199, 16.331, 60.35, 17.716, 49.431, 
200, 40.969, 36.39, 37.677, 32.533, 
201, 28.596, 0, 18.274, 10.681, 
202, 23.147, 69.559, 18.327, 68.263, 
203, 36.317, 23.311, 26.514, 30.072, 
204, 25.773, 91.966, 36.039, 73.756, 
205, 97.155, 44.673, 60.98, 48.757, 
206, 80.804, 58.116, 94.403, 32.86, 
207, 44.353, 41.178, 43.687, 39.635, 
208, 100, 53.433, 97.223, 54.749, 
209, 18.882, 48.96, 13.119, 47.497, 
210, 70.002, 100, 59.711, 82.323, 
211, 27.35, 61.62, 19.258, 67.253, 
212, 20.322, 89.71, 17.393, 92.754, 
213, 11.986, 68.87, 7.863, 67.602, 
214, 48.684, 12.709, 20.599, 2.996, 
215, 34.009, 98.141, 29.201, 98.081, 
216, 32.273, 44.045, 30.851, 43.152, 
217, 88.205, 21.888, 84.725, 23.004, 
218, 71.801, 90.757, 60.655, 95.906, 
219, 46.747, 14.805, 44.894, 4.317, 
220, 37.122, 4.125, 36.611, 1.558, 
221, 5.168, 52.549, 0, 49.832, 
222, 30.967, 96.824, 25.242, 97.213, 
223, 98.773, 42.022, 82.458, 30.24, 
224, 96.245, 8.963, 81.305, 8.866, 
225, 32.721, 51.167, 21.938, 41.744, 
226, 85.319, 87.619, 81.319, 88.393, 
227, 96.32, 52.789, 71.91, 41.715, 
228, 11.016, 19.875, 3.987, 11.327, 
229, 69.261, 29.919, 53.179, 80.503, 
230, 12.131, 6.663, 5.814, 4.647, 
231, 99.975, 67.905, 92.285, 71.76, 
232, 2.665, 23.194, 4, 14.863, 
233, 36.22, 25.435, 30.299, 28.308, 
